Record_ID,Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Exam_Score
85,17,88,Yes,7,0,3,69
86,25,63,Yes,7,3,4,67
87,22,86,No,6,2,0,64
88,17,86,No,5,3,3,71
89,23,98,Yes,7,0,3,68
90,21,60,No,7,0,4,64
91,26,70,Yes,8,1,4,63
92,16,97,Yes,6,0,4,71
93,18,97,Yes,4,0,3,69
94,18,89,Yes,4,3,2,100
95,11,91,No,6,3,3,68
96,22,64,No,7,1,3,62
97,22,81,Yes,7,2,3,68
98,20,69,Yes,6,2,3,66
99,19,67,No,5,0,3,64
100,12,92,No,4,2,3,67
101,17,65,Yes,8,1,4,65
102,18,79,Yes,7,0,3,65
103,15,98,No,6,0,3,69
104,19,67,No,5,1,3,63
105,22,99,Yes,6,3,4,72
106,31,100,No,7,2,5,76
107,21,82,Yes,7,3,3,69
108,22,67,Yes,7,3,2,67
109,20,73,Yes,9,2,3,69
110,8,77,Yes,6,0,2,63
111,20,72,No,9,3,3,67
112,20,71,Yes,7,2,5,66
113,35,99,Yes,7,2,2,79
114,19,66,No,8,1,3,64
115,22,89,Yes,6,1,3,73
116,20,60,No,7,2,4,63
117,13,84,No,5,1,2,65
118,27,97,Yes,8,0,5,73
119,25,72,Yes,8,2,4,70
120,25,67,No,9,2,3,68
121,15,86,Yes,7,1,3,65
122,28,89,Yes,9,0,1,71
123,12,88,No,6,2,2,64
124,24,73,Yes,8,4,3,68
125,33,70,Yes,6,1,4,69
126,14,98,No,7,0,4,69
127,17,97,No,8,1,4,69
128,21,78,Yes,10,1,2,67
129,17,94,Yes,8,4,6,68
130,11,78,Yes,8,2,3,64
131,20,77,No,6,0,4,66
132,14,66,No,7,3,3,63
133,23,77,Yes,7,0,2,66
134,14,81,No,9,1,3,66
135,29,61,Yes,7,3,3,67
136,15,78,No,9,1,1,65
137,18,91,Yes,5,1,3,68
138,25,87,No,9,1,2,68
139,13,85,No,6,0,1,65
140,21,96,No,8,2,0,71
141,28,61,No,6,1,3,65
142,10,82,No,8,3,1,64
143,21,91,No,6,0,2,72
144,22,82,No,9,2,2,65
145,25,73,No,8,0,5,66
146,13,65,No,6,0,4,61
147,12,96,Yes,8,2,3,68
148,23,79,Yes,8,3,3,69
149,22,95,Yes,6,1,3,72
150,22,83,Yes,5,2,3,71
151,22,87,No,5,2,3,70
152,16,92,Yes,5,1,2,68
153,21,86,Yes,5,2,2,67
154,22,76,Yes,8,1,4,68
155,16,81,Yes,8,3,2,68
156,31,92,Yes,4,2,4,72
157,23,75,No,6,0,2,65
158,13,76,No,5,2,4,66
159,24,64,Yes,8,0,3,65
160,14,97,Yes,6,2,3,67
161,25,64,No,5,2,4,66
162,27,86,No,7,1,4,69
163,15,77,Yes,8,0,3,66
164,26,76,Yes,6,4,3,69
165,22,87,Yes,7,0,2,67
166,25,63,Yes,6,1,3,66
167,31,84,Yes,9,2,3,71
168,19,91,No,6,5,4,70
169,15,93,No,6,2,4,71
170,15,67,Yes,7,1,3,66
171,15,96,No,7,3,2,67
172,20,86,No,8,1,4,66
173,22,95,No,9,0,2,72
174,22,79,No,9,1,3,68
175,25,82,No,6,3,3,69
176,20,97,Yes,7,2,3,71
177,29,96,Yes,9,0,2,70
178,18,78,No,9,2,4,67
179,36,71,Yes,6,2,2,69
180,24,76,No,8,2,1,65
181,15,76,No,8,1,4,65
182,14,71,Yes,8,2,4,64
183,23,71,Yes,9,1,2,63
184,19,94,Yes,5,3,2,69
185,24,63,Yes,6,1,5,64
186,23,87,Yes,8,0,3,72
187,20,67,Yes,7,0,4,63
188,15,74,Yes,4,3,3,64
189,11,62,Yes,5,3,4,64
190,17,71,Yes,8,5,1,67
191,25,91,No,8,2,0,71
192,21,95,No,5,1,4,70
193,13,69,Yes,9,0,4,61
194,21,79,Yes,7,2,4,67
195,22,79,No,5,4,3,72
196,15,95,Yes,6,1,5,66
197,21,91,Yes,5,1,2,70
198,20,81,Yes,6,3,4,67
199,13,87,Yes,4,2,3,67
200,22,94,Yes,7,2,2,71
201,23,60,Yes,8,1,4,66
202,26,76,Yes,5,1,4,68
203,26,96,Yes,7,3,3,74
204,12,90,Yes,6,1,3,64
205,14,82,No,8,1,3,65
206,23,81,Yes,4,1,3,66
207,23,74,Yes,8,0,3,66
208,23,81,No,4,2,5,68
209,43,86,Yes,7,2,1,78
210,23,77,Yes,6,1,2,67
211,27,89,Yes,6,3,3,74
212,26,94,No,5,1,2,74
213,24,66,No,9,1,2,62
214,18,78,Yes,5,2,4,66
215,25,76,Yes,5,3,3,69
216,15,87,Yes,10,2,3,68
217,19,70,No,7,0,2,89
218,17,86,No,5,2,4,66
219,20,95,Yes,7,2,3,68
220,34,77,Yes,7,0,3,69
221,9,96,Yes,4,0,4,67
222,24,100,Yes,6,2,5,75
223,10,64,No,7,0,4,60
224,17,69,Yes,9,2,4,66
225,27,98,Yes,7,1,3,73
226,20,98,No,7,1,2,68
227,14,64,Yes,6,0,3,62
228,16,61,No,9,2,2,62
229,24,66,Yes,8,1,4,65
230,16,100,Yes,8,2,3,69
231,21,67,No,7,3,2,64
232,20,80,No,5,0,4,67
233,16,94,Yes,9,0,2,70
234,33,61,No,7,2,3,70
235,24,84,No,7,3,3,69
236,8,71,No,8,0,3,61
237,21,94,No,7,0,2,69
238,16,71,Yes,5,1,0,63
239,25,87,Yes,7,0,4,67
240,15,87,No,4,1,6,65
241,19,69,Yes,7,3,4,66
242,23,61,No,9,4,2,63
243,25,76,Yes,4,2,3,68
244,13,72,No,7,0,4,65
245,18,92,Yes,8,1,3,67
246,17,92,Yes,8,2,3,68
247,16,78,No,6,0,3,64
248,31,84,No,5,0,3,71
249,22,84,Yes,6,0,5,69
250,12,93,Yes,9,1,3,67
251,26,77,No,4,2,3,65
252,33,71,No,5,1,2,68
253,26,71,Yes,6,1,3,67
254,11,81,Yes,6,3,4,67
255,17,78,Yes,7,2,3,66
256,28,78,No,9,2,4,70
257,16,64,Yes,5,3,4,65
258,23,89,Yes,7,4,4,69
259,25,69,Yes,7,1,4,65
260,14,68,No,6,1,3,63
261,20,77,No,5,2,2,67
262,1,69,Yes,6,1,3,61
263,14,83,Yes,6,0,2,65
264,18,75,Yes,8,1,2,66
265,13,78,Yes,8,0,3,66
266,30,81,Yes,5,1,1,69
267,11,68,No,6,2,3,63
268,17,66,No,6,1,6,65
269,21,95,No,10,0,4,67
270,29,77,Yes,7,2,3,69
271,11,76,Yes,5,4,2,65
272,27,61,No,6,1,3,65
273,20,80,Yes,6,0,2,65
274,14,82,Yes,8,2,5,67
275,23,82,Yes,8,1,2,66
276,21,88,No,7,4,3,72
277,16,67,No,7,3,3,66
278,20,70,Yes,7,2,4,65
279,18,92,Yes,7,1,3,69
280,21,98,No,4,2,2,68
281,24,65,No,7,1,1,64
282,30,80,No,6,3,4,69
283,13,69,Yes,5,0,1,59
284,33,62,Yes,10,0,3,68
285,8,73,No,7,0,3,60
286,19,66,No,7,1,3,62
287,24,88,Yes,6,0,3,67
288,22,81,Yes,8,4,5,68
289,16,66,Yes,5,3,3,64
290,19,60,Yes,7,3,3,65
291,17,92,Yes,6,2,2,65
292,16,67,No,8,0,3,63
293,25,84,Yes,6,2,3,70
294,22,73,Yes,9,3,3,66
295,16,83,Yes,7,4,3,68
296,25,73,No,8,3,3,66
297,22,63,No,8,3,1,63
298,25,69,Yes,9,1,3,66
299,24,68,Yes,6,1,3,65
300,15,77,Yes,8,1,2,66
301,17,86,Yes,4,2,3,67
302,24,71,Yes,7,0,3,66
303,24,60,No,6,4,3,63
304,20,81,Yes,5,3,4,66
305,21,84,No,6,1,3,67
306,28,99,Yes,6,1,3,71
307,16,84,Yes,7,1,2,67
308,23,79,Yes,6,1,4,69
309,19,83,Yes,7,2,4,67
310,19,97,Yes,6,2,2,72
311,27,93,No,6,2,4,70
312,25,73,Yes,7,0,4,67
313,25,69,Yes,7,0,3,64
314,28,71,No,8,1,1,67
315,20,80,No,8,3,4,69
316,24,90,No,7,0,3,68
317,18,80,No,8,2,3,63
318,22,63,Yes,7,4,3,68
319,19,89,Yes,7,0,3,70
320,21,92,Yes,8,0,2,66
321,24,72,No,6,0,6,68
322,15,87,Yes,4,0,3,67
323,33,77,Yes,5,0,5,69
324,14,96,Yes,9,0,3,66
325,13,94,Yes,7,3,3,68
326,27,81,Yes,7,2,2,69
327,25,88,Yes,7,1,3,70
328,24,95,Yes,8,1,3,74
329,24,80,Yes,7,0,0,70
330,20,73,Yes,7,1,2,66
331,15,90,Yes,8,1,3,69
332,20,69,No,6,0,3,64
333,16,76,Yes,8,1,1,62
334,26,95,No,7,0,3,70
335,19,89,Yes,7,2,4,68
336,15,76,Yes,6,0,3,65
337,18,69,No,7,3,3,65
338,22,74,Yes,6,3,4,71
339,17,71,Yes,9,2,5,66
340,15,67,No,4,0,3,61
341,21,90,Yes,8,2,5,67
342,21,70,Yes,4,0,2,65
343,17,78,No,8,0,3,65
344,17,75,Yes,6,1,5,65
345,21,99,No,8,4,4,73
346,11,76,Yes,7,1,2,62
347,12,63,Yes,5,0,2,60
348,16,64,Yes,9,1,3,61
349,19,84,Yes,8,2,3,67
350,22,84,No,8,3,4,70
351,29,77,No,6,1,1,69
352,25,77,Yes,8,0,5,66
353,19,62,No,5,2,3,64
354,20,81,Yes,4,1,2,68
355,14,80,Yes,5,1,4,67
356,20,66,No,6,0,1,64
357,18,64,Yes,6,2,2,65
358,22,65,Yes,6,2,3,66
359,15,64,Yes,6,2,4,63
360,23,84,Yes,6,2,2,68
361,29,68,Yes,4,1,4,66
362,19,70,No,7,3,5,63
363,22,67,No,7,1,3,63
364,24,98,Yes,6,1,4,74
365,18,94,Yes,9,1,2,70
366,21,69,Yes,7,2,3,68
367,20,73,Yes,7,0,4,66
368,21,68,No,8,0,4,63
369,15,80,No,5,4,3,67
370,20,61,No,7,1,3,62
371,23,87,No,8,1,3,71
372,29,81,No,7,2,4,72
373,26,96,Yes,5,1,2,72
374,33,67,Yes,6,0,3,68
375,15,92,Yes,7,1,5,66
376,25,92,No,4,0,3,70
377,21,65,Yes,5,2,4,66
378,33,76,Yes,10,1,3,72
379,15,67,Yes,8,0,4,64
380,15,70,No,9,1,3,63
381,16,71,No,8,0,2,61
382,7,82,Yes,8,0,2,62
383,17,76,No,7,1,4,68
384,15,98,Yes,8,1,3,68
385,21,65,No,9,1,5,63
386,22,99,Yes,8,1,4,70
387,31,69,Yes,7,1,3,68
388,26,91,Yes,7,1,5,72
389,17,74,Yes,8,4,3,67
390,15,66,No,6,1,1,61
391,23,94,No,8,0,3,69
392,12,72,Yes,6,2,2,61
393,31,86,Yes,6,3,3,75
394,27,83,No,5,0,2,68
395,17,79,Yes,6,1,4,65
396,10,80,Yes,6,4,3,67
397,28,89,Yes,10,3,6,75
398,19,64,No,6,1,3,64
399,27,87,No,8,1,4,70
400,10,96,No,6,0,4,67
401,16,62,Yes,7,2,3,63
402,20,66,No,7,1,4,65
403,20,89,Yes,4,1,3,67
404,17,77,Yes,5,2,3,86
405,24,76,No,6,3,3,67
406,14,65,No,5,1,4,63
407,19,80,No,7,0,3,66
408,21,65,No,7,2,1,65
409,23,79,No,5,1,3,67
410,24,91,No,7,0,4,69
411,13,70,No,6,2,2,66
412,11,79,Yes,7,1,2,64
413,28,100,Yes,6,1,2,73
414,22,87,No,8,1,1,66
415,16,94,No,9,1,4,68
416,29,77,Yes,8,0,4,70
417,21,91,No,9,2,2,69
418,27,62,Yes,5,4,4,67
419,20,65,No,6,0,3,62
420,32,68,No,8,1,2,68
421,31,76,Yes,9,1,4,72
422,19,94,No,8,3,5,69
423,26,74,No,5,3,2,66
424,24,86,No,6,1,3,70
425,28,88,No,8,0,3,71
426,14,83,Yes,7,0,3,65
427,24,74,Yes,6,3,3,70
428,26,83,No,7,2,4,65
429,9,74,No,7,1,3,62
430,13,63,Yes,5,2,2,62
431,8,100,Yes,8,1,3,70
432,18,65,Yes,6,5,3,66
433,24,63,Yes,7,4,4,67
434,29,95,No,9,1,3,72
435,20,72,Yes,7,0,3,66
436,30,86,Yes,8,2,2,68
437,12,73,No,5,1,4,62
438,10,76,Yes,8,2,3,64
439,20,70,No,8,0,5,65
440,22,74,Yes,6,4,3,66
441,20,76,No,7,2,3,64
442,8,89,Yes,7,4,3,67
443,19,80,Yes,7,4,4,69
444,12,98,Yes,8,0,5,68
445,24,62,No,6,2,4,64
446,22,80,Yes,7,2,2,68
447,14,83,Yes,9,1,3,64
448,17,97,No,9,0,1,71
449,14,62,Yes,8,3,2,61
450,20,83,No,7,4,3,68
451,26,94,Yes,10,2,5,73
452,14,70,Yes,9,3,1,64
453,23,95,Yes,7,3,4,72
454,17,61,Yes,7,5,3,65
455,15,89,Yes,6,1,4,68
456,19,97,Yes,8,2,3,71
457,14,86,Yes,8,3,3,65
458,17,78,No,8,2,2,66
459,13,62,No,7,4,1,63
460,32,97,No,5,1,3,74
461,20,79,Yes,7,2,4,66
462,16,61,No,8,2,3,63
463,21,88,Yes,6,2,4,72
464,19,79,No,7,1,2,69
465,19,65,Yes,9,1,4,67
466,24,69,No,5,3,3,66
467,25,63,No,7,0,5,64
468,17,83,No,9,4,2,67
469,17,85,No,7,4,3,69
470,18,80,Yes,6,2,2,65
471,6,93,No,7,0,2,64
472,11,94,Yes,8,1,4,65
473,28,85,Yes,7,2,1,72
474,30,61,Yes,8,2,2,66
475,19,88,No,7,2,3,66
476,23,77,Yes,7,1,3,67
477,22,83,Yes,8,1,3,69
478,38,86,Yes,7,3,3,73
479,27,74,No,6,3,3,69
480,19,97,No,8,1,4,68
481,14,65,Yes,7,1,3,61
482,10,87,Yes,6,0,4,63
483,21,60,Yes,8,0,2,63
484,15,97,Yes,9,1,2,68
485,11,65,No,7,2,3,63
486,16,64,Yes,7,3,4,66
487,14,73,Yes,5,2,4,65
488,30,75,No,7,0,1,68
489,25,69,Yes,7,0,4,66
490,20,83,No,7,2,5,66
491,29,78,No,6,2,4,70
492,20,61,Yes,8,0,2,61
493,15,73,Yes,7,2,3,61
494,29,92,Yes,10,1,4,71
495,23,88,Yes,7,1,2,67
496,14,89,Yes,4,2,3,70
497,19,88,No,5,2,4,69
498,15,72,No,8,2,4,65
499,12,64,Yes,6,0,2,61
500,26,71,No,6,3,4,68
501,31,93,Yes,5,2,2,74
502,12,99,No,6,1,3,67
503,23,80,Yes,7,5,1,70
504,16,60,Yes,8,1,2,59
505,17,66,No,5,0,2,64
506,16,73,Yes,8,2,4,66
507,15,83,Yes,5,1,3,63
508,20,63,Yes,8,0,3,61
509,15,98,Yes,8,2,4,68
510,22,75,No,6,3,3,65
511,20,97,No,5,1,4,69
512,19,91,Yes,8,2,4,68
513,15,90,Yes,6,2,2,69
514,17,84,Yes,7,1,2,67
515,25,85,No,8,1,1,70
516,23,86,Yes,8,1,3,68
517,14,85,No,6,0,4,67
518,21,82,No,7,4,3,67
519,25,99,Yes,6,0,3,75
520,10,89,Yes,8,3,4,63
521,23,91,No,9,1,5,70
522,16,95,Yes,6,2,4,70
523,23,69,Yes,7,1,4,64
524,15,63,No,8,0,3,59
525,9,79,No,7,1,3,63
526,10,81,Yes,8,2,4,67
527,20,93,Yes,7,0,2,68
528,22,78,Yes,5,0,3,68
529,15,83,No,7,2,2,97
530,24,81,No,9,1,4,66
531,10,62,No,7,3,3,61
532,20,85,No,9,2,3,70
533,13,93,Yes,4,1,1,65
534,16,66,Yes,8,3,2,64
535,20,84,Yes,6,2,4,69
536,15,84,No,6,1,2,64
537,18,67,Yes,9,2,2,61
538,26,65,No,7,3,2,64
539,17,99,No,6,0,3,68
540,25,76,No,8,1,3,67
541,13,69,No,4,3,3,62
542,23,67,Yes,9,2,2,66
543,29,87,Yes,10,1,4,72
544,5,84,Yes,8,4,3,68
545,15,86,Yes,8,4,3,71
546,23,64,Yes,7,3,2,65
547,19,96,Yes,5,2,3,68
548,22,76,No,9,2,5,65
549,16,73,Yes,8,1,4,64
550,21,78,No,8,2,4,65
551,19,76,Yes,8,0,4,65
552,27,95,No,7,3,3,73
553,22,97,Yes,6,1,3,72
554,22,72,Yes,10,1,1,64
555,18,95,Yes,7,0,4,69
556,17,91,No,6,1,3,69
557,17,97,Yes,9,0,2,70
558,22,70,No,7,1,3,83
559,17,83,No,7,3,5,68
560,22,71,Yes,9,1,3,84
561,32,93,Yes,8,1,3,75
562,25,60,No,8,1,5,67
563,18,83,Yes,5,0,4,69
564,27,74,No,8,3,4,71
565,18,73,Yes,5,1,5,66
566,8,86,No,6,1,2,65
567,14,94,No,7,1,5,70
568,9,84,No,7,1,4,66
569,18,94,Yes,8,3,4,74
570,20,71,No,8,0,4,66
571,30,81,No,8,0,2,68
572,22,78,Yes,5,2,1,68
573,19,60,No,10,0,3,62
574,25,82,Yes,7,2,2,71
575,7,86,No,9,2,2,63
576,21,84,No,4,2,3,69
577,25,89,Yes,7,3,0,71
578,11,83,Yes,5,1,2,66
579,27,63,No,6,0,2,64
580,22,65,Yes,7,3,2,65
581,18,84,No,6,4,2,69
582,24,71,No,9,2,3,66
583,34,63,Yes,10,1,4,67
584,21,77,Yes,6,4,5,65
585,21,82,Yes,6,3,2,65
586,17,73,No,5,1,4,67
587,15,89,Yes,9,1,3,66
588,25,86,Yes,7,1,1,69
589,15,73,No,7,1,2,64
590,20,90,Yes,7,1,4,70
591,17,86,Yes,7,3,3,68
592,23,85,Yes,6,1,1,68
593,22,82,Yes,7,1,3,69
594,26,60,Yes,7,3,2,68
595,17,88,Yes,8,5,2,70
596,18,75,Yes,5,2,3,67
597,14,98,Yes,7,3,3,72
598,17,93,No,6,1,4,69
599,22,84,No,7,1,3,69
600,25,70,Yes,8,3,4,64
601,14,68,Yes,6,2,3,63
602,25,74,Yes,9,3,3,70
603,28,79,Yes,4,0,3,70
604,22,72,Yes,9,1,2,66
605,31,81,No,9,1,4,70
606,15,67,Yes,6,0,2,66
607,13,99,Yes,6,1,5,68
608,9,64,No,5,1,4,61
609,29,97,No,8,1,4,72
610,24,97,No,7,1,2,69
611,20,81,Yes,6,0,4,63
612,22,89,Yes,5,2,5,72
613,13,77,Yes,10,1,4,65
614,35,85,Yes,6,1,5,74
615,21,74,Yes,7,1,4,62
616,21,72,No,7,0,4,65
617,24,83,No,6,1,4,68
618,23,80,Yes,6,3,2,66
619,21,83,Yes,6,3,4,71
620,15,71,No,8,1,2,62
621,23,75,Yes,6,1,2,65
622,31,63,No,9,0,3,68
623,28,62,No,6,4,3,70
624,30,70,No,8,1,2,67
625,17,63,No,4,2,4,63
626,14,64,Yes,6,0,2,63
627,19,93,No,6,0,3,69
628,20,62,Yes,5,3,3,66
629,27,86,Yes,7,2,3,70
630,10,71,Yes,7,2,3,63
631,29,95,Yes,4,0,4,72
632,19,79,Yes,10,1,3,65
633,17,72,Yes,7,2,4,67
634,14,81,Yes,7,1,3,63
635,10,75,No,9,3,5,65
636,25,83,Yes,8,2,1,67
637,20,65,Yes,7,0,0,80
638,12,100,Yes,4,2,3,68
639,12,77,Yes,8,2,2,63
640,18,74,No,6,1,3,64
641,30,88,No,9,3,3,73
642,18,75,Yes,6,2,1,66
643,11,93,Yes,6,2,3,66
644,19,78,No,5,0,4,66
645,18,89,Yes,5,4,2,69
646,4,64,Yes,7,1,4,59
647,20,94,No,7,0,1,68
648,19,89,No,6,1,3,67
649,24,68,Yes,10,1,4,64
650,31,66,Yes,8,0,4,65
651,27,73,No,7,1,4,68
652,18,99,Yes,4,0,3,70
653,13,70,No,8,2,0,62
654,35,78,Yes,10,1,2,72
655,20,61,Yes,7,1,4,62
656,20,76,Yes,6,1,4,68
657,20,83,No,7,3,4,69
658,21,98,No,5,3,5,73
659,19,81,No,8,3,5,69
660,17,93,Yes,9,1,3,67
661,17,82,No,6,2,3,65
662,20,62,No,6,2,3,63
663,17,73,Yes,7,2,2,66
664,16,83,No,6,1,2,66
665,21,98,No,5,0,2,70
666,18,94,No,6,2,3,69
667,29,69,No,6,1,4,70
668,4,69,No,9,2,3,58
669,27,68,No,9,3,3,67
670,27,97,Yes,9,1,3,73
671,8,94,No,8,0,2,66
672,18,91,Yes,7,0,3,70
673,18,76,No,6,1,2,67
674,12,80,No,9,1,3,60
675,15,79,No,8,1,3,65
676,13,70,No,5,0,2,63
677,31,80,Yes,6,1,3,72
678,26,61,Yes,5,0,5,62
679,28,65,Yes,4,6,3,70
680,24,95,Yes,8,2,1,70
681,13,90,No,5,0,4,64
682,17,77,Yes,6,3,4,64
683,23,81,Yes,7,0,5,67
684,13,75,Yes,7,1,1,64
685,24,90,Yes,6,1,4,72
686,19,91,No,9,0,3,66
687,18,91,No,5,2,4,66
688,24,89,Yes,5,0,2,71
689,23,68,No,8,5,5,66
690,18,74,Yes,6,2,2,64
691,27,79,No,6,0,2,66
692,14,73,Yes,5,1,3,62
693,24,90,No,8,4,4,70
694,24,73,Yes,7,3,3,69
695,18,66,No,7,2,4,65
696,22,76,Yes,6,2,3,70
697,12,99,Yes,6,0,3,70
698,26,69,Yes,7,1,2,67
699,19,84,Yes,8,2,3,69
700,17,77,No,9,0,5,62
701,26,63,Yes,9,1,4,67
702,16,80,No,8,0,6,65
703,12,88,No,8,0,4,65
704,11,81,Yes,5,1,3,65
705,24,95,Yes,6,3,2,69
706,12,72,No,8,4,4,63
707,31,63,Yes,7,3,2,66
708,8,97,Yes,8,0,2,67
709,30,75,No,8,1,3,69
710,21,83,Yes,8,1,2,67
711,19,92,Yes,5,1,4,70
712,17,73,Yes,7,2,2,67
713,22,89,No,6,2,4,70
714,20,65,Yes,6,0,3,65
715,27,72,No,4,0,3,63
716,21,66,Yes,7,0,3,64
717,21,92,Yes,4,1,3,69
718,18,69,No,8,1,4,60
719,20,89,Yes,9,3,3,69
720,22,98,Yes,8,4,2,72
721,10,81,Yes,7,1,2,63
722,12,82,No,9,0,2,63
723,24,78,Yes,7,0,4,66
724,21,73,No,6,6,5,70
725,19,79,Yes,7,1,4,68
726,20,84,Yes,10,2,3,69
727,22,99,Yes,5,0,4,72
728,17,98,No,5,1,3,67
729,15,94,No,8,1,4,68
730,21,96,No,7,1,2,70
731,14,79,Yes,6,5,3,68
732,22,86,Yes,5,2,3,69
733,10,96,No,4,1,5,68
734,26,76,No,5,0,5,66
735,23,98,No,9,1,4,72
736,22,77,Yes,7,2,3,67
737,26,84,No,4,3,2,70
738,30,88,Yes,9,1,3,73
739,26,98,Yes,9,1,6,73
740,9,70,No,9,1,2,60
741,12,90,No,6,2,3,67
742,16,81,Yes,7,3,4,69
743,20,71,No,7,1,5,65
744,23,91,Yes,9,2,4,70
745,16,82,Yes,6,3,3,68
746,21,86,No,6,1,2,66
747,15,73,Yes,8,1,4,65
748,16,79,Yes,9,1,2,64
749,12,85,Yes,7,1,0,67
750,14,76,Yes,8,3,5,65
751,12,68,Yes,7,1,4,64
752,14,98,No,7,0,1,67
753,26,80,Yes,6,2,4,70
754,14,89,Yes,5,3,3,63
755,36,76,No,6,1,2,71
756,23,74,No,6,2,3,68
757,21,76,No,7,0,2,67
758,15,76,Yes,9,1,2,67
759,24,82,Yes,7,0,2,68
760,17,82,No,6,1,3,66
761,21,80,Yes,8,0,4,68
762,35,65,Yes,7,0,2,70
763,19,80,No,8,5,3,67
764,27,67,Yes,6,2,3,67
765,16,65,No,9,2,2,62
766,20,97,No,9,0,3,67
767,31,84,No,7,4,4,70
768,16,86,No,8,4,4,72
769,31,76,Yes,9,2,3,70
770,24,96,No,6,2,2,94
771,17,86,No,7,2,3,66
772,24,91,Yes,7,2,3,69
773,26,75,No,5,0,2,68
774,24,98,No,8,2,1,71
775,11,93,No,9,4,4,69
776,16,94,No,7,2,3,67
777,19,67,Yes,8,2,2,64
778,20,71,Yes,9,1,5,63
779,24,71,Yes,6,2,3,66
780,21,71,Yes,8,2,1,66
781,12,94,Yes,6,3,4,69
782,22,61,Yes,6,4,4,64
783,24,63,No,8,1,3,62
784,23,71,Yes,7,3,5,66
785,26,68,Yes,8,4,3,70
786,25,69,Yes,7,2,4,67
787,23,92,No,8,0,1,68
788,20,83,No,9,0,3,67
789,10,60,No,9,0,4,62
790,23,77,Yes,8,1,1,67
791,21,76,Yes,8,0,5,68
792,22,65,No,7,2,4,64
793,12,87,Yes,7,2,4,64
794,14,88,No,8,2,3,66
795,26,89,Yes,7,2,2,72
796,20,89,Yes,8,2,3,72
797,24,60,Yes,9,2,3,66
798,20,98,No,7,4,1,72
799,20,93,Yes,4,1,3,69
800,26,96,Yes,10,2,3,72
801,17,61,Yes,6,1,4,60
802,21,97,Yes,7,0,2,69
803,17,92,No,8,0,3,68
804,17,93,Yes,9,3,2,69
805,18,64,Yes,10,1,5,62
806,21,90,Yes,6,2,2,71
